MATCH_ID,TIME,JOGADOR,AF_VALOR
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,LUCAS BARBOSA,2.0
2026-03-03|SANTOS|VASCO,VASCO,ANDRÉS GÓMEZ,5.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,MARLON FREITAS,1.0
2026-03-03|SANTOS|VASCO,VASCO,NUNO MOREIRA,5.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,GUSTAVO GÓMEZ,1.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,BRUNO GOMES,7.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,VITINHO,4.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,AGUIRRE,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,JUNINHO CAPIXABA,2.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,CARBONERO,3.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,TINGA,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,VICTOR HUGO,3.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,CUELLO,2.0
2026-03-03|SANTOS|VASCO,VASCO,LUCAS PITON,3.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,GERSON,1.0
2026-03-03|SANTOS|VASCO,VASCO,ROBERT RENAN,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,ALAN FRANCO,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,FREYTES,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,GUSTAVINHO,3.0
2026-03-03|REMO|INTERNACIONAL,REMO,ALEF MANGA,3.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,WILLIAN OLIVEIRA,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,PIQUEREZ,2.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,MAURÍCIO,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,MARTINELLI,1.0
2026-03-03|SANTOS|VASCO,SANTOS,JOÃO SCHMIDT,1.0
2026-03-03|SANTOS|VASCO,SANTOS,GABRIEL BONTEMPO,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,RENAN LODI,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,FLACO LÓPEZ,3.0
2026-03-03|REMO|INTERNACIONAL,REMO,YAGO PIKACHU,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,KHELLVEN,1.0
2026-03-03|SANTOS|VASCO,VASCO,THIAGO MENDES,4.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,MARCOS ANTÔNIO,2.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,MURILO,1.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,CALLERI,2.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,LUCAS MOURA,1.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,PEDRO ROCHA,2.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,ALAN PATRICK,4.0
2026-03-03|REMO|INTERNACIONAL,REMO,JOÃO LUCAS,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,HULK,1.0
2026-03-03|REMO|INTERNACIONAL,REMO,PATRICK DE PAULA,4.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,DUDU,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,MATHEUS PEREIRA,5.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,PAULINHO,3.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,REINIER,3.0
2026-03-03|REMO|INTERNACIONAL,REMO,ZÉ RICARDO,3.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,FÉLIX TORRES,1.0
2026-03-03|REMO|INTERNACIONAL,REMO,KAYKY ALMEIDA,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,KAIO JORGE,2.0
2026-03-03|SANTOS|VASCO,VASCO,JOHAN ROJAS,4.0
2026-03-03|REMO|INTERNACIONAL,REMO,JOÃO PEDRO,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,LUCAS SILVA,1.0
2026-03-03|SANTOS|VASCO,SANTOS,BARREAL,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,ANDREAS PEREIRA,4.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,BORRÉ,1.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,BRENO LOPES,2.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,LUCHO ACOSTA,7.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,LUCAS RONIER,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,MAYCON,1.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,BERNABEI,9.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,LAVEGA,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,MARLON,3.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,JACY,1.0
2026-03-03|REMO|INTERNACIONAL,REMO,LÉO ANDRADE,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,PAVÓN,1.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,ENZO DÍAZ,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,NORIEGA,3.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,RENÊ,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,SAMUEL XAVIER,2.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,SANTOS,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,GUILHERME ARANA,1.0
2026-02-17|VASCO|BAHIA,BAHIA,ERICK PULGA,1.0
2026-02-17|VASCO|BAHIA,BAHIA,ADEMIR,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,BERNARD,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,MEMPHIS DEPAY,3.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,ISIDRO PITTA,1.0
